Constituency,Const. No.,Leading Candidate,Trailing Candidate,Trailing Party,Margin,State,Leading Party
Andaman & Nicobar Islands,1,BISHNU PADA RAY,KULDEEP RAI SHARMA,Indian National Congress,24396,Andaman and Nicobar Islands,Bharatiya Janata Party
Amalapuram (SC),7,G M HARISH (BALAYOGI),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,342196,Andra Pradesh,Telugu Desam
Anakapalle,5,C.M.RAMESH,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,296530,Andra Pradesh,Bharatiya Janata Party
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,188555,Andra Pradesh,Telugu Desam
Araku (ST),1,GUMMA THANUJA RANI,KOTHAPALLI GEETHA,Bharatiya Janata Party,50580,Andra Pradesh,Yuvajana Sramika Rythu Congress Party
Bapatla (SC),15,KRISHNA PRASAD TENNETI,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,208031,Andra Pradesh,Telugu Desam
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,220479,Andra Pradesh,Telugu Desam
Eluru,10,PUTTA MAHESH KUMAR,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,181857,Andra Pradesh,Telugu Desam
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,344695,Andra Pradesh,Telugu Desam
Hindupur,20,B K PARTHASARATHI,J SHANTHA,Yuvajana Sramika Rythu Congress Party,132427,Andra Pradesh,Telugu Desam
Kadapa,21,Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,62695,Andra Pradesh,Yuvajana Sramika Rythu Congress Party
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,229491,Andra Pradesh,Janasena Party
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,111298,Andra Pradesh,Telugu Desam
Machilipatnam,11,BALASHOWRY VALLABHANENI,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,223179,Andra Pradesh,Janasena Party
Nandyal,17,DR BYREDDY SHABARI,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,111975,Andra Pradesh,Telugu Desam
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,276802,Andra Pradesh,Bharatiya Janata Party
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,159729,Andra Pradesh,Telugu Desam
Nellore,22,PRABHAKAR REDDY VEMIREDDY,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,245902,Andra Pradesh,Telugu Desam
Ongole,16,MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,50199,Andra Pradesh,Telugu Desam
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139,Andra Pradesh,Bharatiya Janata Party
Rajampet,24,P V MIDHUN REDDY,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071,Andra Pradesh,Yuvajana Sramika Rythu Congress Party
Arunachal East,2,TAPIR GAO,BOSIRAM SIRAM,Indian National Congress,30421,Arunachal Pradesh,Bharatiya Janata Party
Arunachal West,1,KIREN RIJIJU,NABAM TUKI,Indian National Congress,100738,Arunachal Pradesh,Bharatiya Janata Party
Barpeta,3,PHANI BHUSAN CHOUDHURY,DEEP BAYAN,Indian National Congress,222351,Assam,Asom Gana Parishad
Darrang-Udalguri,4,DILIP SAIKIA,MADHAB RAJBANGSHI,Indian National Congress,329012,Assam,Bharatiya Janata Party
Dhubri,2,RAKIBUL HUSSAIN,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1012476,Assam,Indian National Congress
Dibrugarh,13,SARBANANDA SONOWAL,LURINJYOTI GOGOI,Assam Jatiya Parishad,279321,Assam,Bharatiya Janata Party
Diphu,6,AMARSING TISSO,J. I. KATHAR,Independent,147603,Assam,Bharatiya Janata Party
Guwahati,5,BIJULI KALITA MEDHI,MIRA BORTHAKUR GOSWAMI,Indian National Congress,251090,Assam,Bharatiya Janata Party
Jorhat,14,GAURAV GOGOI,TOPON KUMAR GOGOI,Bharatiya Janata Party,144393,Assam,Indian National Congress
Karimganj,7,KRIPANATH MALLAH,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360,Assam,Bharatiya Janata Party
Kaziranga,10,KAMAKHYA PRASAD TASA,ROSELINA TIRKEY,Indian National Congress,248947,Assam,Bharatiya Janata Party
Kokrajhar,1,JOYANTA BASUMATARY,KAMPA BORGOYARI,Bodoland Peoples Front,51583,Assam,"United People’s Party, Liberal"
Lakhimpur,12,PRADAN BARUAH,UDAY SHANKAR HAZARIKA,Indian National Congress,201257,Assam,Bharatiya Janata Party
