Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Amritsar,2,GURJEET SINGH AUJLA,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,40301,Punjab
Anandpur Sahib,6,MALVINDER SINGH KANG,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,10846,Punjab
Bathinda,11,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,49656,Punjab
Faridkot,9,SARABJEET SINGH KHALSA,Independent,KARAMJIT SINGH ANMOL,Aam Aadmi Party,70053,Punjab
Fatehgarh Sahib,8,AMAR SINGH,Indian National Congress,GURPREET SINGH GP,Aam Aadmi Party,34202,Punjab
Firozpur,10,SHER SINGH GHUBAYA,Indian National Congress,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3242,Punjab
Gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,DINESH SINGH BABBU,Bharatiya Janata Party,82861,Punjab
Hoshiarpur,5,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,YAMINI GOMAR,Indian National Congress,44111,Punjab
Jalandhar,4,CHARANJIT SINGH CHANNI,Indian National Congress,SUSHIL KUMAR RINKU,Bharatiya Janata Party,175993,Punjab
Khadoor Sahib,3,AMRITPAL SINGH,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120,Punjab
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942,Punjab
Patiala,13,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Punjab
Sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Punjab
