Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
AJMER,13,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,329991,Rajasthan
ALWAR,8,BHUPENDER YADAV,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,48282,Rajasthan
BANSWARA,20,RAJ KUMAR ROAT,Bharat Adivasi Party,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,247054,Rajasthan
BARMER,17,UMMEDA RAM BENIWAL,Indian National Congress,RAVINDRA SINGH BHATI,Independent,118176,Rajasthan
BHARATPUR,9,SANJNA JATAV,Indian National Congress,RAMSWAROOP KOLI,Bharatiya Janata Party,51983,Rajasthan
BHILWARA,23,DAMODAR AGARWAL,Bharatiya Janata Party,C P JOSHI,Indian National Congress,354606,Rajasthan
BIKANER,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,GOVINDRAM MEGHWAL,Indian National Congress,55711,Rajasthan
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,ANJANA UDAILAL,Indian National Congress,389877,Rajasthan
CHURU,3,RAHUL KASWAN,Indian National Congress,DEVENDRA JHAJHARIA,Bharatiya Janata Party,72737,Rajasthan
DAUSA,11,MURARI LAL MEENA,Indian National Congress,KANHAIYA LAL MEENA,Bharatiya Janata Party,237340,Rajasthan
GANGANAGAR,1,KULDEEP INDORA,Indian National Congress,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,88153,Rajasthan
JAIPUR,7,MANJU SHARMA,Bharatiya Janata Party,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,331767,Rajasthan
JAIPUR RURAL,6,RAO RAJENDRA SINGH,Bharatiya Janata Party,ANIL CHOPRA,Indian National Congress,1615,Rajasthan
JALORE,18,LUMBARAM,Bharatiya Janata Party,VAIBHAV GEHLOT,Indian National Congress,201543,Rajasthan
JHALAWAR-BARAN,25,DUSHYANT SINGH,Bharatiya Janata Party,URMILA JAIN “BHAYA”,Indian National Congress,370989,Rajasthan
JHUNJHUNU,4,BRIJENDRA SINGH OLA,Indian National Congress,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,18235,Rajasthan
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,KARAN SINGH UCHIYARDA,Indian National Congress,115677,Rajasthan
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,Indian National Congress,INDU DEVI,Bharatiya Janata Party,98945,Rajasthan
KOTA,24,OM BIRLA,Bharatiya Janata Party,PRAHLAD GUNJAL,Indian National Congress,41974,Rajasthan
NAGAUR,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225,Rajasthan
