Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SHAHNAWAZ,Rashtriya Janata Dal,20094,Bihar
Arrah,32,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),R. K. SINGH,Bharatiya Janata Party,59808,Bihar
Aurangabad,37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,SUSHIL KUMAR SINGH,Bharatiya Janata Party,79111,Bihar
Banka,27,GIRIDHARI YADAV,Janata Dal  (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,103844,Bihar
Begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,81480,Bihar
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal  (United),AJEET SHARMA,Indian National Congress,104868,Bihar
Buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,30091,Bihar
Darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,178156,Bihar
Gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),KUMAR SARVJEET,Rashtriya Janata Dal,101812,Bihar
Gopalganj,17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,127180,Bihar
Hajipur,21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),SHIV CHANDRA RAM,Rashtriya Janata Dal,170105,Bihar
Jahanabad,36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,CHANDESHWAR PRASAD,Janata Dal  (United),142591,Bihar
Jamui,40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),ARCHANA KUMARI,Rashtriya Janata Dal,112482,Bihar
Jhanjharpur,7,RAMPRIT MANDAL,Janata Dal  (United),SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,184169,Bihar
Karakat,35,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),PAWAN SINGH,Independent,105858,Bihar
Katihar,11,TARIQ ANWAR,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal  (United),49863,Bihar
Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India  (Marxist),161131,Bihar
Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,MUJAHID ALAM,Janata Dal  (United),59692,Bihar
Madhepura,13,DINESH CHANDRA YADAV,Janata Dal  (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534,Bihar
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945,Bihar
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651,Bihar
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),KUMARI ANITA,Rashtriya Janata Dal,80870,Bihar
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927,Bihar
Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal  (United),DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),169114,Bihar
Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670,Bihar
Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568,Bihar
Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174,Bihar
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846,Bihar
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal  (United),23847,Bihar
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Bihar
Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Bihar
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Bihar
Sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Bihar
Sheohar,4,LOVELY ANAND,Janata Dal  (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Bihar
Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal  (United),ARJUN RAY,Rashtriya Janata Dal,51356,Bihar
Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal  (United),HENA SHAHAB,Independent,92857,Bihar
Supaul,8,DILESHWAR KAMAIT,Janata Dal  (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Bihar
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Bihar
Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Bihar
Valmiki Nagar,1,SUNIL KUMAR,Janata Dal  (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Bihar
