Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,SAMYUKTA SHIVANAND PATIL,Indian National Congress,68399,Karnataka
Bangalore central,25,P C MOHAN,Bharatiya Janata Party,MANSOOR ALI KHAN,Indian National Congress,32707,Karnataka
Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,259476,Karnataka
Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,D K SURESH,Indian National Congress,269647,Karnataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,SOWMYA REDDY,Indian National Congress,277083,Karnataka
Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,MRINAL R HEBBALKAR,Indian National Congress,178437,Karnataka
Bellary,9,E. TUKARAM,Indian National Congress,B. SREERAMULU,Bharatiya Janata Party,98992,Karnataka
Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,BHAGWANTH KHUBA,Bharatiya Janata Party,128875,Karnataka
Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,RAJU ALAGUR.,Indian National Congress,77229,Karnataka
Chamarajanagar,22,SUNIL BOSE,Indian National Congress,BALARAJ.S,Bharatiya Janata Party,188706,Karnataka
Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,M.S. RAKSHA RAMAIAH,Indian National Congress,163460,Karnataka
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,90834,Karnataka
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,B.N.CHANDRAPPA,Indian National Congress,48121,Karnataka
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,PADMARAJ.R.POOJARY,Indian National Congress,149208,Karnataka
Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,26094,Karnataka
Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,VINOD ASOOTI,Indian National Congress,97324,Karnataka
Gulbarga,5,RADHAKRISHNA,Indian National Congress,DR. UMESH G JADHAV,Bharatiya Janata Party,27205,Karnataka
Hassan,16,SHREYAS. M. PATEL,Indian National Congress,PRAJWAL REVANNA,Janata Dal  (Secular),42649,Karnataka
Haveri,10,BASAVARAJ BOMMAI,Bharatiya Janata Party,ANANDSWAMY GADDADEVARMATH,Indian National Congress,43513,Karnataka
Kolar,28,M. MALLESH BABU,Janata Dal  (Secular),K V GOWTHAM,Indian National Congress,71388,Karnataka
