Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,JASVEER VALMIKI,Samajwadi Party,247318
Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898
Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335
Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614
Kairana,2,IQRA CHOUDHARY,Samajwadi Party,PRADEEP KUMAR,Bharatiya Janata Party,69116
Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,BHAGAT RAM,Samajwadi Party,148843
Kannauj,42,AKHILESH YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406
